Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
2025/10/4,4,裏,2,2,1,-,-,-,與 賢史朗,北陸大学,右,髙松紳志,福井工業大学,左,カーブ,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,4,裏,3,2,1,-,-,-,與 賢史朗,北陸大学,右,髙松紳志,福井工業大学,左,ストレート,,11,外角,ボール,1,1,0,0,0,四球,-,,,,0,0,0,0,
2025/10/4,4,裏,0,0,1,○,-,-,與 賢史朗,北陸大学,右,細川叶人,福井工業大学,右,ストレート,,1,外角,インプレー,1,1,1,1,1,,-,単打,フライ,左翼手,0,0,0,0,I4
2025/10/4,4,裏,0,0,1,○,○,-,與 賢史朗,北陸大学,右,野口恭平,福井工業大学,左,スライダー,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,4,裏,1,0,1,○,○,-,與 賢史朗,北陸大学,右,野口恭平,福井工業大学,左,ストレート,,7,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,4,裏,1,1,1,○,○,-,與 賢史朗,北陸大学,右,野口恭平,福井工業大学,左,ストレート,,6,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,4,裏,1,2,1,○,○,-,與 賢史朗,北陸大学,右,野口恭平,福井工業大学,左,ストレート,,8,外角,インプレー,1,1,1,1,1,,-,二塁打,フライ,左翼手,0,1,1,0,J6
2025/10/4,4,裏,0,0,1,-,○,○,與 賢史朗,北陸大学,右,山田久敬,福井工業大学,左,チェンジアップ,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,4,裏,1,0,1,-,○,○,與 賢史朗,北陸大学,右,山田久敬,福井工業大学,左,ストレート,,7,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,4,裏,1,1,1,-,○,○,與 賢史朗,北陸大学,右,山田久敬,福井工業大学,左,ストレート,,8,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,4,裏,1,2,1,-,○,○,與 賢史朗,北陸大学,右,山田久敬,福井工業大学,左,ストレート,,7,外角,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
2025/10/4,4,裏,0,0,2,-,○,○,與 賢史朗,北陸大学,右,辻本匡登,福井工業大学,右,スライダー,,6,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,4,裏,0,1,2,-,○,○,與 賢史朗,北陸大学,右,辻本匡登,福井工業大学,右,ストレート,,12,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,4,裏,1,1,2,-,○,○,與 賢史朗,北陸大学,右,辻本匡登,福井工業大学,右,ストレート,,3,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
